NO.,Species Name,Family,common name,country / region of origin,multiples?,room,sub collection,notes
91,Espostoa lanata,Cactaceae,Peruvian old man,"Peru, Equador",2,515,Fiber,
93,Ferocactus emoryi ,Cactaceae,Traveler's Friend,"Southern Arizona, Mexico",1,515,"Culinary, Ethnobotanical, Medicinal",
129,Mammillaria plumosa,Cactaceae,Feather cactus,Northeastern Mexico,1,515,,
148,Marginatocereus marginatus,Cactaceae,Fence Post Cactus,Central Mexico,1,515,,
167,Lophocereus schottii ,Cactaceae,Totem Cactus,"Baha CA, Arizona",1,515,,
170,Schlumbergera truncata,Cactaceae,Thanksgiving cactus,Brazil,1,513,,Possibly Cultivar
184,Cereus repandus,Cactaceae,Peruvean Apple Cactus,South America,1,515,"Culinary, Ethnobotanical, Fiber",
*,Pereskia grandifolia,Cactaceae,Rose Cactus,Brazil,1,515,,
102a,Carnegiea gigantea,Cactaceae,Giant saguaro,"Arizona, California, USA; Sonora, Mexico",3,515,"Culinary, Fiber, Ethnobotanical",
103(+139),Mammillaria elongata,Cactaceae,Golden stars,Mexico,4,515,,
106a,Disocactus flagelliformis,Cactaceae,Rat tail cactus,Mexico,1,515,,
113a,Cleistocactus straussii,Cactaceae,Silver torch,Bolivia and Argentina,2,515,,
151a,Ferocactus wislizeni,Cactaceae,Fish hook barrel cactus,"Southwest US, Northwest Mexico",4,515,,from Wave Hill
199a,Rhipsalis teres ,Cactaceae,Rounded Mistletoe Cactus,Brazil,2,513,,
293a,Schlumbergera truncata var. delicata ,Cactaceae,False Christmas Cactus,Brazil,5,513,,Possibly Cultivar
300a,Disocactus × hybridus,Cactaceae,Orchid cactus,Hybrid,2,513,Hybrid,Cross between Disocactus phyllanthoides and Disocactus speciosus
334a,Hatiora salicornioides,Cactaceae,Drunkard's dream,Brazil,2,515,,
459a,Epiphyllum oxypetalum,Cactaceae,Queen of the night,Southern Mexico through South America,2,513,,
494,Canna indica (?),Cannaceae,Indian Shot,Tropical Americas,2 (?),513,"Culinary, Ethnobotanical, Medicinal, Fiber",
530a,Canna x generalis striatus ,Cannaceae,Bengal tiger,Hybrid (Tropical Americas),1,"513, hall",Hybrid,Generalis' base is a cross between Canna glauca × Canna indica × Canna iridiflora
529,Chloranthus spicatus ,Chloranthaceae,Pearl Orchid ,"Southern China, Thailand",1,513,"Culinary, Fragrance, Medicinal",
327,Combretum indicum,Combretaceae,Rangoon creeper,"Philippines, India, Malaysia",1,513,Medicinal,
270,Dichorisandra thyrsiflora 'variegata' ,Commelinaceae,Variegated Blue ginger,Tropical Americas,1,513,Cultivar,
024a,Callisia navicularis,Commelinaceae,Chain Plant,Mexico,2,515,,
560a,Tradescantia pallida,Commelinaceae,Purple heart,Eastern Mexico,3,"513, Hallway",,
168,Ipomea albivenia (?),Convolvulaceae,Wild Cotton,"South Africa, Mozambique and Zimbabwe",1,515,"Culinary, Medicinal",
084a,Evolvulus glomeratus,Convolvulaceae,Brazilian dwarf morning-glory,Brazil and Paraguay,2,511,,
17,Sedum pachyphyllum,Crassulaceae,Jellybeans,"Oaxaca, Mexico",1,515,,
29,"Sedum dasyphyllum (maybe 2 plants, w/154; might have been switched too)",Crassulaceae,Corsican stonecrop or thick-leaved stonecrop,Mediterranean,maybe 2,515,,
54,Echeveria spp,Crassulaceae,,,1,515,,
60,Crassula x deceptrix ,Crassulaceae,Dwarf Chain Propeller Plant,Hybrid (South Africa),1,515,Hybrid,Cross of: Crassula deceptor x C. perfoliata var. falcata
77,Echeveria sp (mislabeled),Crassulaceae,,,2,515,,
96,Crassula ovata ,Crassulaceae,Jade plant,South Africa,2,515,,
126,Aeonium haworthii,Crassulaceae,Pinwheel,Canary Islands,1,515,,
008a,Kalanchoe tomentosa,Crassulaceae,Panda plant,Madagascar,5,515,,
021 c,Crassula x imperialis ,Crassulaceae,Giant's watch chain,Hybrid (S.Africa),3,515,Hybrid,Cross between : Crassula muscosa x C. pyramidalis
025a,Pachyphytum 'Dr. Cornelius',Crassulaceae,Moonstones,Hybrid (Mexico),1,515,Hybrid,Suspected Cross of : Pachyphytum glutinicaule x Echeveria sp
026a,Kalanchoe x 'Fernleaf' ,Crassulaceae,Fernleaf felt bush,Hybrid (Madagascar),3,515,Hybrid ,Suspected cross between:  Kalanchoe beharensis x K. millotii 
037a,Crassula ovata cv. 'Gollum',Crassulaceae,Gollum Jade,South Africa,4,515,Cultivar,Monstrose form of C. ovata
040a,Crassula perfoliata var. falcata,Crassulaceae,Propeller Plant,South Africa,3,515,,
046a,Aeonium arboreum  'Zwartkop',Crassulaceae,Black tree aeonium,Canary Islands,1,515,Cultivar,
051a,Crassula ovata (Small Leaves),Crassulaceae,Jade plant,South Africa,2,515,,
053a,Sedum rubrotinctum,Crassulaceae,Christmas cheer,Mexico,3,515,,
095a,Sedum morganianum,Crassulaceae,Donkey Tail,"Southern Mexico, Honduras",4,515,,
111a,Echeveria multicaulis ,Crassulaceae,Copper rose,Mexico,1,515,,
115 a,Bryophyllum delagoense,Crassulaceae,Mother of Thousands,Madagascar,1,515,,
121a,Graptopetalum paraguayense,Crassulaceae,Ghost plant,Mexico,5,515,,
125a,Echeveria pulvinata,Crassulaceae,Chenile plant,Mexico : Oaxaca,2,515,,
128a,Crassula rupestris subsp. marnieriana ,Crassulaceae,Jade necklace,South Africa,1,515,,
154a,Sedum spp (could be dasyphyllum / 29),Crassulaceae,,,1,515,,
177a,Crassula muscosa,Crassulaceae,Watch Chain,South Africa,2,515,,
238,Cyperus alternifolius,Cyperaceae,Umbrella plant,Madagascar,4,513,"Marginal, Aquatic",
239a,Cyperus prolifer,Cyperaceae,Dwarf papyrus,Africa,1,513,"Marginal, Aquatic",
19,Alluaudia procera,Didiereaceae ,Madagascar Ocotillo,S. Madagascar,1,515,Spiny Forest,from prof. Hertz 
266,Dioscorea mexicana,Dioscoreaceae,Turtle plant,Mexico,2,515,Caudiciform; Vine,
296,Drosera capensis,Droseraceae,Cape sundew,South Africa,Multiple,513,Carniverous,
301,Dionaea muscipula,Droseraceae,Venus fly trap,"N. and S. Carolina, USA",Multiple,513,Carniverous,
81,Ephedra viridis,Ephedraceae,Mormon tea,Southwestern United states,1,515,"Ethnobotanical, Medicinal",
82,Ephedra nevadensis,Ephedraceae,Nevada tea,Southwestern United states,1,515,"Ethnobotanical, Medicinal",
486,Equisetum hyemale,Equisetaceae,Scouring Rush,"Holartic Kingdom (North America, Europe, and northern Asia.)",2,515,Marginal; Aquatic,Kept in tank
144,Euphorbia aeruginosa,Euphorbiaceae,Miniature saguaro,South Africa,1,515,,
152,Euphorbia obesa,Euphorbiaceae,Baseball plant,"Cape Provence, South Africa",1,515,,
180,Euphorbia barnardii,Euphorbiaceae,Mokgwakgwatha,"Limpoo Provence, Africa",1,515,,
194,Euphorbia trigona,Euphorbiaceae,African milk tree,Gabon,1,515,,
394,Jatropha podagrica,Euphorbiaceae,Gout plant,Central America,1,515,Medicinal,
066a,Euphorbia decaryi,Euphorbiaceae,Common name not found,Madagascar,1,515,,
074a,Euphorbia splendens spp. Euphorbia milii var. splendens,Euphorbiaceae,Christ plant,Madagascar,1,515,,
159a,Euphorbia bajoensis possible misspelling of Euphorbia baioensis ,Euphorbiaceae,Common name not found,Kenya,2,515,,
186a,Euphorbia tirucalli,Euphorbiaceae,"Pencil plant, Milk bush","Uganda, Congo",1,515,,
195a,Euphorbia lactea,Euphorbiaceae,"Mottled Spurge, Frilled Fan[citation needel, Elkhorn,candelabra spurge, Candelabrum tree, Candelabra cactus, Candelabra plant, dragon bones, false cactus, hatrack cactus,Milkstripe euphorbia, Mottled candlestick",tropical asia,1,515,,
250a,Euphorbia splendens bojen Euphorbia milii var. splendens?,Euphorbiaceae,Christ plant,Madagascar,3,515,,
251a,Euphorbia splendens 'somona' Euphorbia milii var. splendens?,Euphorbiaceae,Dwarf crown of thorns,West.Madagascar,3,515,,
356a,Acalypha pendula,Euphorbiaceae,Chenille Fuzzy Wuzzy,Cuba,2,511,,
142,Euphorbia mammillaris,Euphorbiceae,Corncob cactus,Southern Africa,1,515,,
216,Calliandra tergemina var. emarginata,Fabaceae  ,Pink powder puff,Central America,1,513,Medicinal,
290a,Mimosa pudica,Fabaceae,Sensitive Plant,South and Central America,5,513,"Rapid movement, Research ",
492a,Senna ssp. (poss. S. alexandrina),Fabaceae  ,Senna,,1,513,Medicinal,
507a,Ceratonia siliqua (male),Fabaceae ,Carob tree,Eastern Medeterranean,1,513,Cullinary,
507b,Ceratonia siliqua (gender unknown),Fabaceae  ,Carob Tree,Eastern Medeterranean,1,511,Cullinary,
254,Pelargonium carnosum,Geraniaceae,Fleshy Stalk Geranium,"South Africa, Namibia",1,515,,
391a,Pelargonium radens,Geraniaceae,Rasp Leaf Geranium,South Africa,1,hallway,Cullinary,
556,Episcia dianthiflora,Gesneriaceae,Lace Flower,donat.-Laidman,1,511,,
176a,Aeschynanthus radicans,Gesneriaceae,Lipstick plant,Malaysia,2,513,,
204a,"Columnea gigantea (may be Dalbergaria gigantea, or C. Gigantifolia)",Gesneriaceae,,Tropical Americas,1,513,,
223a,Nematanthus wettsteinii,Gesneriaceae,Goldfish plant,Tropical Americas,2,"511, 513",,
